county,town,office,district,party,candidate,votes
Orange,RANDOLPH,U.S. Senate,,Independent,Jerry Trudell,43
Orange,STRAFFORD,U.S. Senate,,Independent,Jerry Trudell,14
Orange,THETFORD,U.S. Senate,,Independent,Jerry Trudell,22
Orange,TOPSHAM,U.S. Senate,,Independent,Jerry Trudell,9
Orange,TUNBRIDGE,U.S. Senate,,Independent,Jerry Trudell,11
Orange,VERSHIRE,U.S. Senate,,Independent,Jerry Trudell,4
Orange,WASHINGTON,U.S. Senate,,Independent,Jerry Trudell,6
Orange,WEST FAIRLEE,U.S. Senate,,Independent,Jerry Trudell,6
Orange,WILLIAMSTOWN,U.S. Senate,,Independent,Jerry Trudell,24
Orleans,ALBANY,U.S. Senate,,Independent,Jerry Trudell,14
Orleans,BARTON,U.S. Senate,,Independent,Jerry Trudell,25
Orleans,BROWNINGTON,U.S. Senate,,Independent,Jerry Trudell,13
Orleans,CHARLESTON,U.S. Senate,,Independent,Jerry Trudell,23
Orleans,COVENTRY,U.S. Senate,,Independent,Jerry Trudell,21
Orleans,CRAFTSBURY,U.S. Senate,,Independent,Jerry Trudell,14
Orleans,DERBY,U.S. Senate,,Independent,Jerry Trudell,82
Orleans,GLOVER,U.S. Senate,,Independent,Jerry Trudell,15
Orleans,GREENSBORO,U.S. Senate,,Independent,Jerry Trudell,5
Orleans,HOLLAND,U.S. Senate,,Independent,Jerry Trudell,17
Orleans,IRASBURG,U.S. Senate,,Independent,Jerry Trudell,15
Orleans,JAY,U.S. Senate,,Independent,Jerry Trudell,9
Orleans,LOWELL,U.S. Senate,,Independent,Jerry Trudell,12
Orleans,MORGAN,U.S. Senate,,Independent,Jerry Trudell,3
Orleans,NEWPORT CITY,U.S. Senate,,Independent,Jerry Trudell,44
Orleans,NEWPORT TOWN,U.S. Senate,,Independent,Jerry Trudell,22
Orleans,TROY,U.S. Senate,,Independent,Jerry Trudell,7
Orleans,WESTFIELD,U.S. Senate,,Independent,Jerry Trudell,8
Orleans,WESTMORE,U.S. Senate,,Independent,Jerry Trudell,7
Rutland,BENSON,U.S. Senate,,Independent,Jerry Trudell,8
Rutland,BRANDON,U.S. Senate,,Independent,Jerry Trudell,23
Rutland,CASTLETON,U.S. Senate,,Independent,Jerry Trudell,31
Rutland,CHITTENDEN,U.S. Senate,,Independent,Jerry Trudell,10
Rutland,CLARENDON,U.S. Senate,,Independent,Jerry Trudell,19
Rutland,DANBY,U.S. Senate,,Independent,Jerry Trudell,15
Rutland,FAIR HAVEN,U.S. Senate,,Independent,Jerry Trudell,19
Rutland,HUBBARDTON,U.S. Senate,,Independent,Jerry Trudell,10
Rutland,IRA,U.S. Senate,,Independent,Jerry Trudell,0
Rutland,KILLINGTON,U.S. Senate,,Independent,Jerry Trudell,7
Rutland,MENDON,U.S. Senate,,Independent,Jerry Trudell,7
Rutland,MIDDLETOWN SPRINGS,U.S. Senate,,Independent,Jerry Trudell,11
Rutland,MOUNT HOLLY,U.S. Senate,,Independent,Jerry Trudell,13
Rutland,MOUNT TABOR,U.S. Senate,,Independent,Jerry Trudell,1
Rutland,PAWLET,U.S. Senate,,Independent,Jerry Trudell,13
Rutland,PITTSFIELD,U.S. Senate,,Independent,Jerry Trudell,6
Rutland,PITTSFORD,U.S. Senate,,Independent,Jerry Trudell,19
Rutland,POULTNEY,U.S. Senate,,Independent,Jerry Trudell,28
Rutland,PROCTOR,U.S. Senate,,Independent,Jerry Trudell,13
Rutland,RUTLAND CITY,U.S. Senate,,Independent,Jerry Trudell,91
Rutland,RUTLAND TOWN,U.S. Senate,,Independent,Jerry Trudell,28
Rutland,SHREWSBURY,U.S. Senate,,Independent,Jerry Trudell,6
Rutland,SUDBURY,U.S. Senate,,Independent,Jerry Trudell,4
Rutland,TINMOUTH,U.S. Senate,,Independent,Jerry Trudell,8
Rutland,WALLINGFORD,U.S. Senate,,Independent,Jerry Trudell,10
Rutland,WELLS,U.S. Senate,,Independent,Jerry Trudell,12
Rutland,WEST HAVEN,U.S. Senate,,Independent,Jerry Trudell,3
Rutland,WEST RUTLAND,U.S. Senate,,Independent,Jerry Trudell,17
Washington,BARRE CITY,U.S. Senate,,Independent,Jerry Trudell,58
Washington,BARRE TOWN,U.S. Senate,,Independent,Jerry Trudell,45
Washington,BERLIN,U.S. Senate,,Independent,Jerry Trudell,19
Washington,CABOT,U.S. Senate,,Independent,Jerry Trudell,13
Washington,CALAIS,U.S. Senate,,Independent,Jerry Trudell,15
Washington,DUXBURY,U.S. Senate,,Independent,Jerry Trudell,13
Washington,EAST MONTPELIER,U.S. Senate,,Independent,Jerry Trudell,30
Washington,FAYSTON,U.S. Senate,,Independent,Jerry Trudell,14
Washington,MARSHFIELD,U.S. Senate,,Independent,Jerry Trudell,15
Washington,MIDDLESEX,U.S. Senate,,Independent,Jerry Trudell,20
Washington,MONTPELIER,U.S. Senate,,Independent,Jerry Trudell,73
Washington,MORETOWN,U.S. Senate,,Independent,Jerry Trudell,16
Washington,NORTHFIELD,U.S. Senate,,Independent,Jerry Trudell,50
Washington,PLAINFIELD,U.S. Senate,,Independent,Jerry Trudell,14
Washington,ROXBURY,U.S. Senate,,Independent,Jerry Trudell,5
Washington,WAITSFIELD,U.S. Senate,,Independent,Jerry Trudell,20
Washington,WARREN,U.S. Senate,,Independent,Jerry Trudell,27
Washington,WATERBURY,U.S. Senate,,Independent,Jerry Trudell,37
Washington,WOODBURY,U.S. Senate,,Independent,Jerry Trudell,14
Washington,WORCESTER,U.S. Senate,,Independent,Jerry Trudell,15
Windham,ATHENS,U.S. Senate,,Independent,Jerry Trudell,5
Windham,BRATTLEBORO,U.S. Senate,,Independent,Jerry Trudell,126
Windham,BROOKLINE,U.S. Senate,,Independent,Jerry Trudell,10
Windham,DOVER,U.S. Senate,,Independent,Jerry Trudell,14
Windham,DUMMERSTON,U.S. Senate,,Independent,Jerry Trudell,14
Windham,GRAFTON,U.S. Senate,,Independent,Jerry Trudell,4
Windham,GUILFORD,U.S. Senate,,Independent,Jerry Trudell,31
Windham,HALIFAX,U.S. Senate,,Independent,Jerry Trudell,11
Windham,JAMAICA,U.S. Senate,,Independent,Jerry Trudell,16
Windham,LONDONDERRY,U.S. Senate,,Independent,Jerry Trudell,13
Windham,MARLBORO,U.S. Senate,,Independent,Jerry Trudell,7
Windham,NEWFANE,U.S. Senate,,Independent,Jerry Trudell,25
Windham,PUTNEY,U.S. Senate,,Independent,Jerry Trudell,19
Windham,ROCKINGHAM,U.S. Senate,,Independent,Jerry Trudell,56
Windham,STRATTON,U.S. Senate,,Independent,Jerry Trudell,2
Windham,TOWNSHEND,U.S. Senate,,Independent,Jerry Trudell,10
Windham,VERNON,U.S. Senate,,Independent,Jerry Trudell,26
Windham,WARDSBORO,U.S. Senate,,Independent,Jerry Trudell,5
Windham,WESTMINSTER,U.S. Senate,,Independent,Jerry Trudell,32
Windham,WHITINGHAM,U.S. Senate,,Independent,Jerry Trudell,20
Windham,WILMINGTON,U.S. Senate,,Independent,Jerry Trudell,25
Windham,WINDHAM,U.S. Senate,,Independent,Jerry Trudell,4
Windsor,ANDOVER,U.S. Senate,,Independent,Jerry Trudell,4
Windsor,BALTIMORE,U.S. Senate,,Independent,Jerry Trudell,5
Windsor,BARNARD,U.S. Senate,,Independent,Jerry Trudell,4
Windsor,BETHEL,U.S. Senate,,Independent,Jerry Trudell,13
Windsor,BRIDGEWATER,U.S. Senate,,Independent,Jerry Trudell,7
Windsor,CAVENDISH,U.S. Senate,,Independent,Jerry Trudell,12
Windsor,CHESTER,U.S. Senate,,Independent,Jerry Trudell,37
Windsor,HARTFORD,U.S. Senate,,Independent,Jerry Trudell,82
Windsor,HARTLAND,U.S. Senate,,Independent,Jerry Trudell,30
Windsor,LUDLOW,U.S. Senate,,Independent,Jerry Trudell,16
Windsor,NORWICH,U.S. Senate,,Independent,Jerry Trudell,25
Windsor,PLYMOUTH,U.S. Senate,,Independent,Jerry Trudell,6
Windsor,POMFRET,U.S. Senate,,Independent,Jerry Trudell,8
Windsor,READING,U.S. Senate,,Independent,Jerry Trudell,4
Windsor,ROCHESTER,U.S. Senate,,Independent,Jerry Trudell,13
Windsor,ROYALTON,U.S. Senate,,Independent,Jerry Trudell,23
Windsor,SHARON,U.S. Senate,,Independent,Jerry Trudell,9
Windsor,SPRINGFIELD,U.S. Senate,,Independent,Jerry Trudell,90
Windsor,STOCKBRIDGE,U.S. Senate,,Independent,Jerry Trudell,11
Windsor,WEATHERSFIELD,U.S. Senate,,Independent,Jerry Trudell,35
Windsor,WEST WINDSOR,U.S. Senate,,Independent,Jerry Trudell,7
Windsor,WESTON,U.S. Senate,,Independent,Jerry Trudell,3
Windsor,WINDSOR,U.S. Senate,,Independent,Jerry Trudell,40
Windsor,WOODSTOCK,U.S. Senate,,Independent,Jerry Trudell,24
Addison,ADDISON,U.S. Senate,,Democrat,Patrick Leahy,355
Addison,BRIDPORT,U.S. Senate,,Democrat,Patrick Leahy,308
Addison,BRISTOL,U.S. Senate,,Democrat,Patrick Leahy,1140
Addison,CORNWALL,U.S. Senate,,Democrat,Patrick Leahy,537
Addison,FERRISBURGH,U.S. Senate,,Democrat,Patrick Leahy,973
Addison,GOSHEN,U.S. Senate,,Democrat,Patrick Leahy,75
Addison,GRANVILLE,U.S. Senate,,Democrat,Patrick Leahy,98
Addison,HANCOCK,U.S. Senate,,Democrat,Patrick Leahy,84
Addison,LEICESTER,U.S. Senate,,Democrat,Patrick Leahy,258
Addison,LINCOLN,U.S. Senate,,Democrat,Patrick Leahy,531
Addison,MIDDLEBURY,U.S. Senate,,Democrat,Patrick Leahy,2663
Addison,MONKTON,U.S. Senate,,Democrat,Patrick Leahy,753
Addison,NEW HAVEN,U.S. Senate,,Democrat,Patrick Leahy,619
Addison,ORWELL,U.S. Senate,,Democrat,Patrick Leahy,307
Addison,PANTON,U.S. Senate,,Democrat,Patrick Leahy,178
Addison,RIPTON,U.S. Senate,,Democrat,Patrick Leahy,251
Addison,SALISBURY,U.S. Senate,,Democrat,Patrick Leahy,321
Addison,SHOREHAM,U.S. Senate,,Democrat,Patrick Leahy,390
Addison,STARKSBORO,U.S. Senate,,Democrat,Patrick Leahy,552
Addison,VERGENNES,U.S. Senate,,Democrat,Patrick Leahy,786
Addison,WALTHAM,U.S. Senate,,Democrat,Patrick Leahy,170
Addison,WEYBRIDGE,U.S. Senate,,Democrat,Patrick Leahy,419
Addison,WHITING,U.S. Senate,,Democrat,Patrick Leahy,114
Bennington,ARLINGTON,U.S. Senate,,Democrat,Patrick Leahy,732
Bennington,BENNINGTON,U.S. Senate,,Democrat,Patrick Leahy,3751
Bennington,DORSET,U.S. Senate,,Democrat,Patrick Leahy,715
Bennington,LANDGROVE,U.S. Senate,,Democrat,Patrick Leahy,62
Bennington,MANCHESTER,U.S. Senate,,Democrat,Patrick Leahy,1404
Bennington,PERU,U.S. Senate,,Democrat,Patrick Leahy,145
Bennington,POWNAL,U.S. Senate,,Democrat,Patrick Leahy,915
Bennington,READSBORO,U.S. Senate,,Democrat,Patrick Leahy,191
Bennington,RUPERT,U.S. Senate,,Democrat,Patrick Leahy,240
Bennington,SANDGATE,U.S. Senate,,Democrat,Patrick Leahy,108
Bennington,SEARSBURG,U.S. Senate,,Democrat,Patrick Leahy,20
Bennington,SHAFTSBURY,U.S. Senate,,Democrat,Patrick Leahy,1026
Bennington,STAMFORD,U.S. Senate,,Democrat,Patrick Leahy,227
Bennington,SUNDERLAND,U.S. Senate,,Democrat,Patrick Leahy,296
Bennington,WINHALL,U.S. Senate,,Democrat,Patrick Leahy,300
Bennington,WOODFORD,U.S. Senate,,Democrat,Patrick Leahy,114
Caledonia,BARNET,U.S. Senate,,Democrat,Patrick Leahy,534
Caledonia,BURKE,U.S. Senate,,Democrat,Patrick Leahy,424
Caledonia,DANVILLE,U.S. Senate,,Democrat,Patrick Leahy,713
Caledonia,GROTON,U.S. Senate,,Democrat,Patrick Leahy,199
Caledonia,HARDWICK,U.S. Senate,,Democrat,Patrick Leahy,784
Caledonia,KIRBY,U.S. Senate,,Democrat,Patrick Leahy,142
Caledonia,LYNDON,U.S. Senate,,Democrat,Patrick Leahy,986
Caledonia,NEWARK,U.S. Senate,,Democrat,Patrick Leahy,142
Caledonia,PEACHAM,U.S. Senate,,Democrat,Patrick Leahy,291
Caledonia,RYEGATE,U.S. Senate,,Democrat,Patrick Leahy,275
Caledonia,SAINT JOHNSBURY,U.S. Senate,,Democrat,Patrick Leahy,1623
Caledonia,SHEFFIELD,U.S. Senate,,Democrat,Patrick Leahy,144
Caledonia,STANNARD,U.S. Senate,,Democrat,Patrick Leahy,68
Caledonia,SUTTON,U.S. Senate,,Democrat,Patrick Leahy,210
Caledonia,WALDEN,U.S. Senate,,Democrat,Patrick Leahy,302
Caledonia,WATERFORD,U.S. Senate,,Democrat,Patrick Leahy,310
Caledonia,WHEELOCK,U.S. Senate,,Democrat,Patrick Leahy,201
Chittenden,BOLTON,U.S. Senate,,Democrat,Patrick Leahy,411
Chittenden,BURLINGTON,U.S. Senate,,Democrat,Patrick Leahy,14644
Chittenden,CHARLOTTE,U.S. Senate,,Democrat,Patrick Leahy,1826
Chittenden,COLCHESTER,U.S. Senate,,Democrat,Patrick Leahy,4937
Chittenden,ESSEX,U.S. Senate,,Democrat,Patrick Leahy,7282
Chittenden,HINESBURG,U.S. Senate,,Democrat,Patrick Leahy,1823
Chittenden,HUNTINGTON,U.S. Senate,,Democrat,Patrick Leahy,898
Chittenden,JERICHO,U.S. Senate,,Democrat,Patrick Leahy,2115
Chittenden,MILTON,U.S. Senate,,Democrat,Patrick Leahy,2662
Chittenden,RICHMOND,U.S. Senate,,Democrat,Patrick Leahy,1763
Chittenden,SAINT GEORGE,U.S. Senate,,Democrat,Patrick Leahy,219
Chittenden,SHELBURNE,U.S. Senate,,Democrat,Patrick Leahy,3459
Chittenden,SOUTH BURLINGTON,U.S. Senate,,Democrat,Patrick Leahy,7360
Chittenden,UNDERHILL,U.S. Senate,,Democrat,Patrick Leahy,1308
Chittenden,WESTFORD,U.S. Senate,,Democrat,Patrick Leahy,782
Chittenden,WILLISTON,U.S. Senate,,Democrat,Patrick Leahy,3669
Chittenden,WINOOSKI,U.S. Senate,,Democrat,Patrick Leahy,2180
Essex,BLOOMFIELD,U.S. Senate,,Democrat,Patrick Leahy,54
Essex,BRIGHTON,U.S. Senate,,Democrat,Patrick Leahy,275
Essex,BRUNSWICK,U.S. Senate,,Democrat,Patrick Leahy,27
Essex,CANAAN,U.S. Senate,,Democrat,Patrick Leahy,213
Essex,CONCORD,U.S. Senate,,Democrat,Patrick Leahy,221
Essex,EAST HAVEN,U.S. Senate,,Democrat,Patrick Leahy,75
Essex,GRANBY,U.S. Senate,,Democrat,Patrick Leahy,27
Essex,GUILDHALL,U.S. Senate,,Democrat,Patrick Leahy,64
Essex,LEMINGTON,U.S. Senate,,Democrat,Patrick Leahy,24
Essex,LUNENBURG,U.S. Senate,,Democrat,Patrick Leahy,232
Essex,MAIDSTONE,U.S. Senate,,Democrat,Patrick Leahy,56
Essex,NORTON,U.S. Senate,,Democrat,Patrick Leahy,35
Essex,VICTORY,U.S. Senate,,Democrat,Patrick Leahy,21
Franklin,BAKERSFIELD,U.S. Senate,,Democrat,Patrick Leahy,364
Franklin,BERKSHIRE,U.S. Senate,,Democrat,Patrick Leahy,318
Franklin,ENOSBURGH,U.S. Senate,,Democrat,Patrick Leahy,715
Franklin,FAIRFAX,U.S. Senate,,Democrat,Patrick Leahy,1286
Franklin,FAIRFIELD,U.S. Senate,,Democrat,Patrick Leahy,585
Franklin,FLETCHER,U.S. Senate,,Democrat,Patrick Leahy,414
Franklin,FRANKLIN,U.S. Senate,,Democrat,Patrick Leahy,305
Franklin,GEORGIA,U.S. Senate,,Democrat,Patrick Leahy,1224
Franklin,HIGHGATE,U.S. Senate,,Democrat,Patrick Leahy,666
Franklin,MONTGOMERY,U.S. Senate,,Democrat,Patrick Leahy,385
Franklin,RICHFORD,U.S. Senate,,Democrat,Patrick Leahy,467
Franklin,SAINT ALBANS CITY,U.S. Senate,,Democrat,Patrick Leahy,1584
Franklin,SAINT ALBANS TOWN,U.S. Senate,,Democrat,Patrick Leahy,1777
Franklin,SHELDON,U.S. Senate,,Democrat,Patrick Leahy,422
Franklin,SWANTON,U.S. Senate,,Democrat,Patrick Leahy,1436
Grand Isle,ALBURGH,U.S. Senate,,Democrat,Patrick Leahy,485
Grand Isle,GRAND ISLE,U.S. Senate,,Democrat,Patrick Leahy,676
Grand Isle,ISLE LA MOTTE,U.S. Senate,,Democrat,Patrick Leahy,148
Grand Isle,NORTH HERO,U.S. Senate,,Democrat,Patrick Leahy,338
Grand Isle,SOUTH HERO,U.S. Senate,,Democrat,Patrick Leahy,716
Lamoille,BELVIDERE,U.S. Senate,,Democrat,Patrick Leahy,73
Lamoille,CAMBRIDGE,U.S. Senate,,Democrat,Patrick Leahy,1205
Lamoille,EDEN,U.S. Senate,,Democrat,Patrick Leahy,272
Lamoille,ELMORE,U.S. Senate,,Democrat,Patrick Leahy,358
Lamoille,HYDE PARK,U.S. Senate,,Democrat,Patrick Leahy,910
Lamoille,JOHNSON,U.S. Senate,,Democrat,Patrick Leahy,774
Lamoille,MORRISTOWN,U.S. Senate,,Democrat,Patrick Leahy,1702
Lamoille,STOWE,U.S. Senate,,Democrat,Patrick Leahy,1950
Lamoille,WATERVILLE,U.S. Senate,,Democrat,Patrick Leahy,185
Lamoille,WOLCOTT,U.S. Senate,,Democrat,Patrick Leahy,473
Orange,BRADFORD,U.S. Senate,,Democrat,Patrick Leahy,692
Orange,BRAINTREE,U.S. Senate,,Democrat,Patrick Leahy,321
Orange,BROOKFIELD,U.S. Senate,,Democrat,Patrick Leahy,396
Orange,CHELSEA,U.S. Senate,,Democrat,Patrick Leahy,295
Orange,CORINTH,U.S. Senate,,Democrat,Patrick Leahy,356
Orange,FAIRLEE,U.S. Senate,,Democrat,Patrick Leahy,346
Orange,NEWBURY,U.S. Senate,,Democrat,Patrick Leahy,595
Orange,ORANGE,U.S. Senate,,Democrat,Patrick Leahy,211
Orange,RANDOLPH,U.S. Senate,,Democrat,Patrick Leahy,1272
Orange,STRAFFORD,U.S. Senate,,Democrat,Patrick Leahy,492
Orange,THETFORD,U.S. Senate,,Democrat,Patrick Leahy,1177
Orange,TOPSHAM,U.S. Senate,,Democrat,Patrick Leahy,244
Orange,TUNBRIDGE,U.S. Senate,,Democrat,Patrick Leahy,372
Orange,VERSHIRE,U.S. Senate,,Democrat,Patrick Leahy,216
Orange,WASHINGTON,U.S. Senate,,Democrat,Patrick Leahy,209
Orange,WEST FAIRLEE,U.S. Senate,,Democrat,Patrick Leahy,166
Orange,WILLIAMSTOWN,U.S. Senate,,Democrat,Patrick Leahy,713
Orleans,ALBANY,U.S. Senate,,Democrat,Patrick Leahy,225
Orleans,BARTON,U.S. Senate,,Democrat,Patrick Leahy,577
Orleans,BROWNINGTON,U.S. Senate,,Democrat,Patrick Leahy,187
Orleans,CHARLESTON,U.S. Senate,,Democrat,Patrick Leahy,219
Orleans,COVENTRY,U.S. Senate,,Democrat,Patrick Leahy,255
Orleans,CRAFTSBURY,U.S. Senate,,Democrat,Patrick Leahy,440
Orleans,DERBY,U.S. Senate,,Democrat,Patrick Leahy,1073
Orleans,GLOVER,U.S. Senate,,Democrat,Patrick Leahy,317
Orleans,GREENSBORO,U.S. Senate,,Democrat,Patrick Leahy,291
Orleans,HOLLAND,U.S. Senate,,Democrat,Patrick Leahy,103
Orleans,IRASBURG,U.S. Senate,,Democrat,Patrick Leahy,245
Orleans,JAY,U.S. Senate,,Democrat,Patrick Leahy,134
Orleans,LOWELL,U.S. Senate,,Democrat,Patrick Leahy,183
Orleans,MORGAN,U.S. Senate,,Democrat,Patrick Leahy,125
Orleans,NEWPORT CITY,U.S. Senate,,Democrat,Patrick Leahy,797
Orleans,NEWPORT TOWN,U.S. Senate,,Democrat,Patrick Leahy,312
Orleans,TROY,U.S. Senate,,Democrat,Patrick Leahy,307
Orleans,WESTFIELD,U.S. Senate,,Democrat,Patrick Leahy,148
Orleans,WESTMORE,U.S. Senate,,Democrat,Patrick Leahy,95
Rutland,BENSON,U.S. Senate,,Democrat,Patrick Leahy,248
Rutland,BRANDON,U.S. Senate,,Democrat,Patrick Leahy,1056
Rutland,CASTLETON,U.S. Senate,,Democrat,Patrick Leahy,893
Rutland,CHITTENDEN,U.S. Senate,,Democrat,Patrick Leahy,380
Rutland,CLARENDON,U.S. Senate,,Democrat,Patrick Leahy,558
Rutland,DANBY,U.S. Senate,,Democrat,Patrick Leahy,295
Rutland,FAIR HAVEN,U.S. Senate,,Democrat,Patrick Leahy,574
Rutland,HUBBARDTON,U.S. Senate,,Democrat,Patrick Leahy,192
Rutland,IRA,U.S. Senate,,Democrat,Patrick Leahy,111
Rutland,KILLINGTON,U.S. Senate,,Democrat,Patrick Leahy,357
Rutland,MENDON,U.S. Senate,,Democrat,Patrick Leahy,322
Rutland,MIDDLETOWN SPRINGS,U.S. Senate,,Democrat,Patrick Leahy,267
Rutland,MOUNT HOLLY,U.S. Senate,,Democrat,Patrick Leahy,384
Rutland,MOUNT TABOR,U.S. Senate,,Democrat,Patrick Leahy,52
Rutland,PAWLET,U.S. Senate,,Democrat,Patrick Leahy,413
Rutland,PITTSFIELD,U.S. Senate,,Democrat,Patrick Leahy,153
Rutland,PITTSFORD,U.S. Senate,,Democrat,Patrick Leahy,746
Rutland,POULTNEY,U.S. Senate,,Democrat,Patrick Leahy,765
Rutland,PROCTOR,U.S. Senate,,Democrat,Patrick Leahy,476
Rutland,RUTLAND CITY,U.S. Senate,,Democrat,Patrick Leahy,3908
Rutland,RUTLAND TOWN,U.S. Senate,,Democrat,Patrick Leahy,1179
Rutland,SHREWSBURY,U.S. Senate,,Democrat,Patrick Leahy,357
Rutland,SUDBURY,U.S. Senate,,Democrat,Patrick Leahy,174
Rutland,TINMOUTH,U.S. Senate,,Democrat,Patrick Leahy,160
Rutland,WALLINGFORD,U.S. Senate,,Democrat,Patrick Leahy,567
Rutland,WELLS,U.S. Senate,,Democrat,Patrick Leahy,260
Rutland,WEST HAVEN,U.S. Senate,,Democrat,Patrick Leahy,68
Rutland,WEST RUTLAND,U.S. Senate,,Democrat,Patrick Leahy,489
Washington,BARRE CITY,U.S. Senate,,Democrat,Patrick Leahy,1784
Washington,BARRE TOWN,U.S. Senate,,Democrat,Patrick Leahy,1875
Washington,BERLIN,U.S. Senate,,Democrat,Patrick Leahy,720
Washington,CABOT,U.S. Senate,,Democrat,Patrick Leahy,454
Washington,CALAIS,U.S. Senate,,Democrat,Patrick Leahy,716
Washington,DUXBURY,U.S. Senate,,Democrat,Patrick Leahy,455
Washington,EAST MONTPELIER,U.S. Senate,,Democrat,Patrick Leahy,1097
Washington,FAYSTON,U.S. Senate,,Democrat,Patrick Leahy,584
Washington,MARSHFIELD,U.S. Senate,,Democrat,Patrick Leahy,482
Washington,MIDDLESEX,U.S. Senate,,Democrat,Patrick Leahy,780
Washington,MONTPELIER,U.S. Senate,,Democrat,Patrick Leahy,3767
Washington,MORETOWN,U.S. Senate,,Democrat,Patrick Leahy,696
Washington,NORTHFIELD,U.S. Senate,,Democrat,Patrick Leahy,1235
Washington,PLAINFIELD,U.S. Senate,,Democrat,Patrick Leahy,444
Washington,ROXBURY,U.S. Senate,,Democrat,Patrick Leahy,208
Washington,WAITSFIELD,U.S. Senate,,Democrat,Patrick Leahy,784
Washington,WARREN,U.S. Senate,,Democrat,Patrick Leahy,743
Washington,WATERBURY,U.S. Senate,,Democrat,Patrick Leahy,2120
Washington,WOODBURY,U.S. Senate,,Democrat,Patrick Leahy,276
Washington,WORCESTER,U.S. Senate,,Democrat,Patrick Leahy,408
Windham,ATHENS,U.S. Senate,,Democrat,Patrick Leahy,92
Windham,BRATTLEBORO,U.S. Senate,,Democrat,Patrick Leahy,4347
Windham,BROOKLINE,U.S. Senate,,Democrat,Patrick Leahy,176
Windham,DOVER,U.S. Senate,,Democrat,Patrick Leahy,431
Windham,DUMMERSTON,U.S. Senate,,Democrat,Patrick Leahy,822
Windham,GRAFTON,U.S. Senate,,Democrat,Patrick Leahy,212
Windham,GUILFORD,U.S. Senate,,Democrat,Patrick Leahy,773
Windham,HALIFAX,U.S. Senate,,Democrat,Patrick Leahy,210
Windham,JAMAICA,U.S. Senate,,Democrat,Patrick Leahy,309
Windham,LONDONDERRY,U.S. Senate,,Democrat,Patrick Leahy,529
Windham,MARLBORO,U.S. Senate,,Democrat,Patrick Leahy,436
Windham,NEWFANE,U.S. Senate,,Democrat,Patrick Leahy,684
Windham,PUTNEY,U.S. Senate,,Democrat,Patrick Leahy,989
Windham,ROCKINGHAM,U.S. Senate,,Democrat,Patrick Leahy,1401
Windham,STRATTON,U.S. Senate,,Democrat,Patrick Leahy,60
Windham,TOWNSHEND,U.S. Senate,,Democrat,Patrick Leahy,408
Windham,VERNON,U.S. Senate,,Democrat,Patrick Leahy,504
Windham,WARDSBORO,U.S. Senate,,Democrat,Patrick Leahy,223
Windham,WESTMINSTER,U.S. Senate,,Democrat,Patrick Leahy,1048
Windham,WHITINGHAM,U.S. Senate,,Democrat,Patrick Leahy,311
Windham,WILMINGTON,U.S. Senate,,Democrat,Patrick Leahy,606
Windham,WINDHAM,U.S. Senate,,Democrat,Patrick Leahy,149
Windsor,ANDOVER,U.S. Senate,,Democrat,Patrick Leahy,176
Windsor,BALTIMORE,U.S. Senate,,Democrat,Patrick Leahy,57
Windsor,BARNARD,U.S. Senate,,Democrat,Patrick Leahy,331
Windsor,BETHEL,U.S. Senate,,Democrat,Patrick Leahy,603
Windsor,BRIDGEWATER,U.S. Senate,,Democrat,Patrick Leahy,273
Windsor,CAVENDISH,U.S. Senate,,Democrat,Patrick Leahy,345
Windsor,CHESTER,U.S. Senate,,Democrat,Patrick Leahy,878
Windsor,HARTFORD,U.S. Senate,,Democrat,Patrick Leahy,3220
Windsor,HARTLAND,U.S. Senate,,Democrat,Patrick Leahy,1189
Windsor,LUDLOW,U.S. Senate,,Democrat,Patrick Leahy,577
Windsor,NORWICH,U.S. Senate,,Democrat,Patrick Leahy,1928
Windsor,PLYMOUTH,U.S. Senate,,Democrat,Patrick Leahy,175
Windsor,POMFRET,U.S. Senate,,Democrat,Patrick Leahy,351
Windsor,READING,U.S. Senate,,Democrat,Patrick Leahy,222
Windsor,ROCHESTER,U.S. Senate,,Democrat,Patrick Leahy,411
Windsor,ROYALTON,U.S. Senate,,Democrat,Patrick Leahy,706
Windsor,SHARON,U.S. Senate,,Democrat,Patrick Leahy,443
Windsor,SPRINGFIELD,U.S. Senate,,Democrat,Patrick Leahy,2067
Windsor,STOCKBRIDGE,U.S. Senate,,Democrat,Patrick Leahy,231
Windsor,WEATHERSFIELD,U.S. Senate,,Democrat,Patrick Leahy,804
Windsor,WEST WINDSOR,U.S. Senate,,Democrat,Patrick Leahy,448
Windsor,WESTON,U.S. Senate,,Democrat,Patrick Leahy,276
Windsor,WINDSOR,U.S. Senate,,Democrat,Patrick Leahy,1062
Windsor,WOODSTOCK,U.S. Senate,,Democrat,Patrick Leahy,1261
Addison,ADDISON,U.S. Senate,,Liberty Union,Peter Diamondstone,6
Addison,BRIDPORT,U.S. Senate,,Liberty Union,Peter Diamondstone,5
Addison,BRISTOL,U.S. Senate,,Liberty Union,Peter Diamondstone,17
Addison,CORNWALL,U.S. Senate,,Liberty Union,Peter Diamondstone,4
Addison,FERRISBURGH,U.S. Senate,,Liberty Union,Peter Diamondstone,10
Addison,GOSHEN,U.S. Senate,,Liberty Union,Peter Diamondstone,2
Addison,GRANVILLE,U.S. Senate,,Liberty Union,Peter Diamondstone,1
