county,town,office,district,party,candidate,votes
Lamoille,CAMBRIDGE,President,,Republican,Donald J. Trump,520
Lamoille,EDEN,President,,Republican,Donald J. Trump,241
Lamoille,ELMORE,President,,Republican,Donald J. Trump,132
Lamoille,HYDE PARK,President,,Republican,Donald J. Trump,475
Lamoille,JOHNSON,President,,Republican,Donald J. Trump,395
Lamoille,MORRISTOWN,President,,Republican,Donald J. Trump,741
Lamoille,STOWE,President,,Republican,Donald J. Trump,559
Lamoille,WATERVILLE,President,,Republican,Donald J. Trump,146
Lamoille,WOLCOTT,President,,Republican,Donald J. Trump,276
Orange,BRADFORD,President,,Republican,Donald J. Trump,409
Orange,BRAINTREE,President,,Republican,Donald J. Trump,217
Orange,BROOKFIELD,President,,Republican,Donald J. Trump,231
Orange,CHELSEA,President,,Republican,Donald J. Trump,273
Orange,CORINTH,President,,Republican,Donald J. Trump,264
Orange,FAIRLEE,President,,Republican,Donald J. Trump,149
Orange,NEWBURY,President,,Republican,Donald J. Trump,403
Orange,ORANGE,President,,Republican,Donald J. Trump,265
Orange,RANDOLPH,President,,Republican,Donald J. Trump,737
Orange,STRAFFORD,President,,Republican,Donald J. Trump,105
Orange,THETFORD,President,,Republican,Donald J. Trump,324
Orange,TOPSHAM,President,,Republican,Donald J. Trump,274
Orange,TUNBRIDGE,President,,Republican,Donald J. Trump,242
Orange,VERSHIRE,President,,Republican,Donald J. Trump,118
Orange,WASHINGTON,President,,Republican,Donald J. Trump,241
Orange,WEST FAIRLEE,President,,Republican,Donald J. Trump,97
Orange,WILLIAMSTOWN,President,,Republican,Donald J. Trump,658
Orleans,ALBANY,President,,Republican,Donald J. Trump,183
Orleans,BARTON,President,,Republican,Donald J. Trump,425
Orleans,BROWNINGTON,President,,Republican,Donald J. Trump,193
Orleans,CHARLESTON,President,,Republican,Donald J. Trump,210
Orleans,COVENTRY,President,,Republican,Donald J. Trump,244
Orleans,CRAFTSBURY,President,,Republican,Donald J. Trump,153
Orleans,DERBY,President,,Republican,Donald J. Trump,1004
Orleans,GLOVER,President,,Republican,Donald J. Trump,193
Orleans,GREENSBORO,President,,Republican,Donald J. Trump,96
Orleans,HOLLAND,President,,Republican,Donald J. Trump,175
Orleans,IRASBURG,President,,Republican,Donald J. Trump,284
Orleans,JAY,President,,Republican,Donald J. Trump,101
Orleans,LOWELL,President,,Republican,Donald J. Trump,250
Orleans,MORGAN,President,,Republican,Donald J. Trump,197
Orleans,NEWPORT CITY,President,,Republican,Donald J. Trump,614
Orleans,NEWPORT TOWN,President,,Republican,Donald J. Trump,338
Orleans,TROY,President,,Republican,Donald J. Trump,283
Orleans,WESTFIELD,President,,Republican,Donald J. Trump,123
Orleans,WESTMORE,President,,Republican,Donald J. Trump,93
Rutland,BENSON,President,,Republican,Donald J. Trump,232
Rutland,BRANDON,President,,Republican,Donald J. Trump,723
Rutland,CASTLETON,President,,Republican,Donald J. Trump,808
Rutland,CHITTENDEN,President,,Republican,Donald J. Trump,312
Rutland,CLARENDON,President,,Republican,Donald J. Trump,641
Rutland,DANBY,President,,Republican,Donald J. Trump,291
Rutland,FAIR HAVEN,President,,Republican,Donald J. Trump,529
Rutland,HUBBARDTON,President,,Republican,Donald J. Trump,163
Rutland,IRA,President,,Republican,Donald J. Trump,103
Rutland,KILLINGTON,President,,Republican,Donald J. Trump,232
Rutland,MENDON,President,,Republican,Donald J. Trump,268
Rutland,MIDDLETOWN SPRINGS,President,,Republican,Donald J. Trump,179
Rutland,MOUNT HOLLY,President,,Republican,Donald J. Trump,325
Rutland,MOUNT TABOR,President,,Republican,Donald J. Trump,42
Rutland,PAWLET,President,,Republican,Donald J. Trump,311
Rutland,PITTSFIELD,President,,Republican,Donald J. Trump,114
Rutland,PITTSFORD,President,,Republican,Donald J. Trump,669
Rutland,POULTNEY,President,,Republican,Donald J. Trump,599
Rutland,PROCTOR,President,,Republican,Donald J. Trump,339
Rutland,RUTLAND CITY,President,,Republican,Donald J. Trump,2734
Rutland,RUTLAND TOWN,President,,Republican,Donald J. Trump,979
Rutland,SHREWSBURY,President,,Republican,Donald J. Trump,269
Rutland,SUDBURY,President,,Republican,Donald J. Trump,122
Rutland,TINMOUTH,President,,Republican,Donald J. Trump,123
Rutland,WALLINGFORD,President,,Republican,Donald J. Trump,463
Rutland,WELLS,President,,Republican,Donald J. Trump,312
Rutland,WEST HAVEN,President,,Republican,Donald J. Trump,56
Rutland,WEST RUTLAND,President,,Republican,Donald J. Trump,541
Washington,BARRE CITY,President,,Republican,Donald J. Trump,1091
Washington,BARRE TOWN,President,,Republican,Donald J. Trump,1862
Washington,BERLIN,President,,Republican,Donald J. Trump,454
Washington,CABOT,President,,Republican,Donald J. Trump,252
Washington,CALAIS,President,,Republican,Donald J. Trump,195
Washington,DUXBURY,President,,Republican,Donald J. Trump,196
Washington,EAST MONTPELIER,President,,Republican,Donald J. Trump,356
Washington,FAYSTON,President,,Republican,Donald J. Trump,142
Washington,MARSHFIELD,President,,Republican,Donald J. Trump,284
Washington,MIDDLESEX,President,,Republican,Donald J. Trump,228
Washington,MONTPELIER,President,,Republican,Donald J. Trump,492
Washington,MORETOWN,President,,Republican,Donald J. Trump,216
Washington,NORTHFIELD,President,,Republican,Donald J. Trump,708
Washington,PLAINFIELD,President,,Republican,Donald J. Trump,129
Washington,ROXBURY,President,,Republican,Donald J. Trump,118
Washington,WAITSFIELD,President,,Republican,Donald J. Trump,210
Washington,WARREN,President,,Republican,Donald J. Trump,182
Washington,WATERBURY,President,,Republican,Donald J. Trump,592
Washington,WOODBURY,President,,Republican,Donald J. Trump,169
Washington,WORCESTER,President,,Republican,Donald J. Trump,117
Windham,ATHENS,President,,Republican,Donald J. Trump,61
Windham,BRATTLEBORO,President,,Republican,Donald J. Trump,859
Windham,BROOKLINE,President,,Republican,Donald J. Trump,68
Windham,DOVER,President,,Republican,Donald J. Trump,279
Windham,DUMMERSTON,President,,Republican,Donald J. Trump,213
Windham,GRAFTON,President,,Republican,Donald J. Trump,131
Windham,GUILFORD,President,,Republican,Donald J. Trump,274
Windham,HALIFAX,President,,Republican,Donald J. Trump,183
Windham,JAMAICA,President,,Republican,Donald J. Trump,132
Windham,LONDONDERRY,President,,Republican,Donald J. Trump,303
Windham,MARLBORO,President,,Republican,Donald J. Trump,90
Windham,NEWFANE,President,,Republican,Donald J. Trump,209
Windham,PUTNEY,President,,Republican,Donald J. Trump,175
Windham,ROCKINGHAM,President,,Republican,Donald J. Trump,576
Windham,STRATTON,President,,Republican,Donald J. Trump,50
Windham,TOWNSHEND,President,,Republican,Donald J. Trump,174
Windham,VERNON,President,,Republican,Donald J. Trump,486
Windham,WARDSBORO,President,,Republican,Donald J. Trump,137
Windham,WESTMINSTER,President,,Republican,Donald J. Trump,352
Windham,WHITINGHAM,President,,Republican,Donald J. Trump,285
Windham,WILMINGTON,President,,Republican,Donald J. Trump,338
Windham,WINDHAM,President,,Republican,Donald J. Trump,79
Windsor,ANDOVER,President,,Republican,Donald J. Trump,125
Windsor,BALTIMORE,President,,Republican,Donald J. Trump,60
Windsor,BARNARD,President,,Republican,Donald J. Trump,174
Windsor,BETHEL,President,,Republican,Donald J. Trump,299
Windsor,BRIDGEWATER,President,,Republican,Donald J. Trump,160
Windsor,CAVENDISH,President,,Republican,Donald J. Trump,262
Windsor,CHESTER,President,,Republican,Donald J. Trump,512
Windsor,HARTFORD,President,,Republican,Donald J. Trump,1303
Windsor,HARTLAND,President,,Republican,Donald J. Trump,558
Windsor,LUDLOW,President,,Republican,Donald J. Trump,403
Windsor,NORWICH,President,,Republican,Donald J. Trump,191
Windsor,PLYMOUTH,President,,Republican,Donald J. Trump,125
Windsor,POMFRET,President,,Republican,Donald J. Trump,130
Windsor,READING,President,,Republican,Donald J. Trump,108
Windsor,ROCHESTER,President,,Republican,Donald J. Trump,162
Windsor,ROYALTON,President,,Republican,Donald J. Trump,406
Windsor,SHARON,President,,Republican,Donald J. Trump,217
Windsor,SPRINGFIELD,President,,Republican,Donald J. Trump,1510
Windsor,STOCKBRIDGE,President,,Republican,Donald J. Trump,140
Windsor,WEATHERSFIELD,President,,Republican,Donald J. Trump,647
Windsor,WEST WINDSOR,President,,Republican,Donald J. Trump,173
Windsor,WESTON,President,,Republican,Donald J. Trump,106
Windsor,WINDSOR,President,,Republican,Donald J. Trump,462
Windsor,WOODSTOCK,President,,Republican,Donald J. Trump,372
Addison,ADDISON,President,,Libertarian,Gary Johnson,47
Addison,BRIDPORT,President,,Libertarian,Gary Johnson,24
Addison,BRISTOL,President,,Libertarian,Gary Johnson,60
Addison,CORNWALL,President,,Libertarian,Gary Johnson,22
Addison,FERRISBURGH,President,,Libertarian,Gary Johnson,61
Addison,GOSHEN,President,,Libertarian,Gary Johnson,6
Addison,GRANVILLE,President,,Libertarian,Gary Johnson,3
Addison,HANCOCK,President,,Libertarian,Gary Johnson,6
Addison,LEICESTER,President,,Libertarian,Gary Johnson,15
Addison,LINCOLN,President,,Libertarian,Gary Johnson,22
Addison,MIDDLEBURY,President,,Libertarian,Gary Johnson,77
Addison,MONKTON,President,,Libertarian,Gary Johnson,57
Addison,NEW HAVEN,President,,Libertarian,Gary Johnson,45
Addison,ORWELL,President,,Libertarian,Gary Johnson,29
Addison,PANTON,President,,Libertarian,Gary Johnson,6
Addison,RIPTON,President,,Libertarian,Gary Johnson,5
Addison,SALISBURY,President,,Libertarian,Gary Johnson,8
Addison,SHOREHAM,President,,Libertarian,Gary Johnson,19
Addison,STARKSBORO,President,,Libertarian,Gary Johnson,36
Addison,VERGENNES,President,,Libertarian,Gary Johnson,51
Addison,WALTHAM,President,,Libertarian,Gary Johnson,14
Addison,WEYBRIDGE,President,,Libertarian,Gary Johnson,18
Addison,WHITING,President,,Libertarian,Gary Johnson,8
Bennington,ARLINGTON,President,,Libertarian,Gary Johnson,28
Bennington,BENNINGTON,President,,Libertarian,Gary Johnson,155
Bennington,DORSET,President,,Libertarian,Gary Johnson,36
Bennington,LANDGROVE,President,,Libertarian,Gary Johnson,5
Bennington,MANCHESTER,President,,Libertarian,Gary Johnson,74
Bennington,PERU,President,,Libertarian,Gary Johnson,4
Bennington,POWNAL,President,,Libertarian,Gary Johnson,47
Bennington,READSBORO,President,,Libertarian,Gary Johnson,7
Bennington,RUPERT,President,,Libertarian,Gary Johnson,14
Bennington,SANDGATE,President,,Libertarian,Gary Johnson,6
Bennington,SEARSBURG,President,,Libertarian,Gary Johnson,0
Bennington,SHAFTSBURY,President,,Libertarian,Gary Johnson,53
Bennington,STAMFORD,President,,Libertarian,Gary Johnson,16
Bennington,SUNDERLAND,President,,Libertarian,Gary Johnson,12
Bennington,WINHALL,President,,Libertarian,Gary Johnson,15
Bennington,WOODFORD,President,,Libertarian,Gary Johnson,6
Caledonia,BARNET,President,,Libertarian,Gary Johnson,46
Caledonia,BURKE,President,,Libertarian,Gary Johnson,34
Caledonia,DANVILLE,President,,Libertarian,Gary Johnson,50
Caledonia,GROTON,President,,Libertarian,Gary Johnson,18
Caledonia,HARDWICK,President,,Libertarian,Gary Johnson,42
Caledonia,KIRBY,President,,Libertarian,Gary Johnson,6
Caledonia,LYNDON,President,,Libertarian,Gary Johnson,86
Caledonia,NEWARK,President,,Libertarian,Gary Johnson,16
Caledonia,PEACHAM,President,,Libertarian,Gary Johnson,25
Caledonia,RYEGATE,President,,Libertarian,Gary Johnson,15
Caledonia,SAINT JOHNSBURY,President,,Libertarian,Gary Johnson,125
Caledonia,SHEFFIELD,President,,Libertarian,Gary Johnson,14
Caledonia,STANNARD,President,,Libertarian,Gary Johnson,5
Caledonia,SUTTON,President,,Libertarian,Gary Johnson,24
Caledonia,WALDEN,President,,Libertarian,Gary Johnson,22
Caledonia,WATERFORD,President,,Libertarian,Gary Johnson,37
Caledonia,WHEELOCK,President,,Libertarian,Gary Johnson,13
Chittenden,BOLTON,President,,Libertarian,Gary Johnson,14
Chittenden,BURLINGTON,President,,Libertarian,Gary Johnson,412
Chittenden,CHARLOTTE,President,,Libertarian,Gary Johnson,79
Chittenden,COLCHESTER,President,,Libertarian,Gary Johnson,245
Chittenden,ESSEX,President,,Libertarian,Gary Johnson,418
Chittenden,HINESBURG,President,,Libertarian,Gary Johnson,81
Chittenden,HUNTINGTON,President,,Libertarian,Gary Johnson,44
Chittenden,JERICHO,President,,Libertarian,Gary Johnson,101
Chittenden,MILTON,President,,Libertarian,Gary Johnson,149
Chittenden,RICHMOND,President,,Libertarian,Gary Johnson,100
Chittenden,SAINT GEORGE,President,,Libertarian,Gary Johnson,7
Chittenden,SHELBURNE,President,,Libertarian,Gary Johnson,111
Chittenden,SOUTH BURLINGTON,President,,Libertarian,Gary Johnson,322
Chittenden,UNDERHILL,President,,Libertarian,Gary Johnson,55
Chittenden,WESTFORD,President,,Libertarian,Gary Johnson,58
