county,office,district,party,candidate,votes
Salt Lake City,President,,,Mike Smith,1
Salt Lake City,President,,Libertarian,Gary Johnson,16306
Salt Lake City,President,,,Jamin Burton,0
Salt Lake City,President,,Socialist Workers,Alyson Kennedy,250
Salt Lake City,President,,Democratic,Hillary Clinton,175863
Salt Lake City,President,,,Janet Reid,0
Salt Lake City,President,,,Andrew Basiago,2
Salt Lake City,President,,Constitution,Darrell Castle,2047
Salt Lake City,President,,,Tom Hoefling,1
Salt Lake City,President,,Republican,Donald Trump,138043
Salt Lake City,President,,Independent,Rocky Giordani,900
Salt Lake City,President,,,Tony Valdivia,0
Salt Lake City,President,,,Rocky De La Fuente,353
Salt Lake City,President,,Workers World,Monica Moorehead,246
Salt Lake City,President,,,Cherunda Fox,0
Salt Lake City,President,,,Laurence Kotlikoff,6
Salt Lake City,President,,,Stephen Paul Parks,0
Salt Lake City,President,,,Emidio Soltysik,4
Salt Lake City,President,,,Write-In,4875
Salt Lake City,President,,,Robert Buchanan,0
Salt Lake City,President,,,Marshall Schoenke,0
Salt Lake City,State House,22,Democratic,Susan Duckworth,5411
Salt Lake City,State House,22,Republican,Jamie White,5002
Salt Lake City,State House,23,Democratic,Sandra Hollins,5464
Salt Lake City,State House,23,Republican,Scott Hawkins,2458
Salt Lake City,State House,24,Democratic,Rebecca Chavez Houck,14064
Salt Lake City,State House,25,Democratic,Joel Briscoe,14216
Salt Lake City,State House,26,Democratic,Angela Romero,7282
Salt Lake City,State House,28,Democratic,Brian King,15102
Salt Lake City,State House,30,Republican,Mike Winder,6306
Salt Lake City,State House,30,Democratic,Frank Bedolla,4441
Salt Lake City,State House,31,Republican,Sophia Dicaro,3994
Salt Lake City,State House,31,Democratic,Elizabeth Weight,4234
Salt Lake City,State House,32,Republican,Lavar Christensen,8541
Salt Lake City,State House,32,Democratic,Suzanne Harrison,8536
Salt Lake City,State House,33,Democratic,Peter Tomala,4160
Salt Lake City,State House,33,Republican,Craig Hall,4279
Salt Lake City,State House,34,Republican,Macade Jensen,5169
Salt Lake City,State House,34,Democratic,Karen Kwan,6173
Salt Lake City,State House,35,Republican,Patricia Phaklides,2841
Salt Lake City,State House,35,Libertarian,Chelsea Travis,941
Salt Lake City,State House,35,Democratic,Mark Wheatley,6186
Salt Lake City,State House,36,Democratic,Patrice Arent,16210
Salt Lake City,State House,37,Democratic,Carol Spackman,10637
Salt Lake City,State House,37,Republican,Kris Kimball,7186
Salt Lake City,State House,38,Democratic,Charles Henderson,4049
Salt Lake City,State House,38,Republican,Eric Hutchings,4971
Salt Lake City,State House,39,Republican,Jim Dunnigan,7081
Salt Lake City,State House,39,Democratic,Paul Schulte,5342
Salt Lake City,State House,40,Democratic,Lynn Hemingway,10404
Salt Lake City,State House,40,Republican,Joseph Breault,5058
Salt Lake City,State House,41,Democratic,Chad Harrington,3927
Salt Lake City,State House,41,Republican,Dan McCay,13291
Salt Lake City,State House,42,Republican,Kim Coleman,11670
Salt Lake City,State House,43,Republican,Adam Gardiner,7511
Salt Lake City,State House,43,Democratic,Edgar Harwood,4674
Salt Lake City,State House,44,Republican,Bruce Cutler,7544
Salt Lake City,State House,44,Democratic,Christine Passey,7267
Salt Lake City,State House,45,Republican,Steve Eliason,8261
Salt Lake City,State House,45,Democratic,Nikki Cunard,6677
Salt Lake City,State House,46,Libertarian,Lee Anne Walker,3932
Salt Lake City,State House,46,Democratic,Marie Poulson,12547
Salt Lake City,State House,47,Republican,Ken Ivory,7345
Salt Lake City,State House,47,Democratic,John Rendell,5263
Salt Lake City,State House,49,Republican,Robert Spendlove,10901
Salt Lake City,State House,49,Democratic,Zach Robinson,8134
Salt Lake City,State House,50,Republican,Susan Pulsipher,15538
Salt Lake City,State House,50,Democratic,Patty Rich,5121
Salt Lake City,State House,51,Republican,Greg Hughes,10146
Salt Lake City,State House,51,Democratic,Kyle Waters,5007
Salt Lake City,State House,51,,Gordon Jones,8
Salt Lake City,State House,51,,Write-In,61
Salt Lake City,State House,52,Democratic,Garr Smith,4417
Salt Lake City,State House,52,Republican,John Knotwell,13020
Salt Lake City,State Senate,1,Republican,Fred Johnson,8372
Salt Lake City,State Senate,1,Democratic,Luz Escamilla,11957
Salt Lake City,State Senate,6,Libertarian,Jim Dexter,2266
Salt Lake City,State Senate,6,Democratic,Celina Milner,12682
Salt Lake City,State Senate,6,Republican,Wayne Harper,19325
Salt Lake City,State Senate,8,Republican,Brian Shiozawa,23533
Salt Lake City,State Senate,8,Democratic,Ash Anderson,17577
Salt Lake City,State Senate,10,Democratic,Dan Paget,13442
Salt Lake City,State Senate,10,Republican,Lincoln Fillmore,31762
Salt Lake City,State Senate,13,Republican,Jake Anderegg,4109
Salt Lake City,State Senate,13,,Write-In,79
Salt Lake City,State Senate,13,Independent,David (Dave) Lifferth,0
Salt Lake City,State Senate,23,Democratic,Steve Hartwick,2447
Salt Lake City,State Senate,23,Republican,Todd Weiler,1165
Salt Lake City,State Treasurer,,Constitution,Richard Proctor,24732
Salt Lake City,State Treasurer,,Republican,David Damschen,187053
Salt Lake City,State Treasurer,,Democratic,Neil Hansen,176385
Salt Lake City,U.S. House,2,Republican,Chris Stewart,31559
Salt Lake City,U.S. House,2,Democratic,Charlene Albarran,57950
Salt Lake City,U.S. House,2,Constitution,Paul McCollaum,3171
Salt Lake City,U.S. House,3,Republican,Jason Chaffetz,51753
Salt Lake City,U.S. House,3,Democratic,Stephen Tryon,36166
Salt Lake City,U.S. House,4,Democratic,Doug Owens,104722
Salt Lake City,U.S. House,4,Republican,Mia Love,114981
Salt Lake City,U.S. House,4,Constitution,Collin Simonsen,11067
Salt Lake City,U.S. Senate,,,Bill Barron,11699
Salt Lake City,U.S. Senate,,Republican,Mike Lee,220652
Salt Lake City,U.S. Senate,,Democratic,Misty Snow,168403
Salt Lake City,U.S. Senate,,Independent American,Stoney Fonua,10584
San Juan,Attorney General,,Libertarian,W. Andrew McCullough,293
San Juan,Attorney General,,Democratic,Jon Harper,1989
San Juan,Attorney General,,Republican,Sean Reyes,2873
San Juan,Attorney General,,Independent American,Michael Isbell,210
San Juan,Governor,,,Write-In,12
San Juan,Governor,,Republican,Gary Herbert,3188
San Juan,Governor,,Independent American,Dell Schanze,129
San Juan,Governor,,Libertarian,Brian Kamerath,149
San Juan,Governor,,Democratic,Mike Weinholtz,1975
San Juan,President,,,Rocky De La Fuente,7
San Juan,President,,Workers World,Monica Moorehead,4
San Juan,President,,Socialist Workers,Alyson Kennedy,5
San Juan,President,,Constitution,Darrell Castle,45
San Juan,President,,,Rocky De La Fuente,1
San Juan,President,,Independent,Evan McMullin,486
San Juan,President,,Green,Jill Stein,47
San Juan,President,,,Write-In,87
San Juan,President,,Libertarian,Gary Johnson,165
San Juan,President,,Republican,Donald Trump,2645
San Juan,President,,Democratic,Hillary Clinton,2042
San Juan,State Auditor,,Democratic,Mike Mitchell,2123
San Juan,State Auditor,,Independent American,Jared Green,389
San Juan,State Auditor,,Republican,John Dougall,2778
San Juan,State House,73,Republican,Mike Noel,2891
San Juan,State House,73,Democratic,Ty Markham,2379
San Juan,State Senate,27,Republican,David Hinkins,2659
San Juan,State Senate,27,Democratic,Heidi Redd,2719
San Juan,State Treasurer,,Democratic,Neil Hansen,2184
San Juan,State Treasurer,,Republican,David Damschen,2736
San Juan,State Treasurer,,Constitution,Richard Proctor,358
San Juan,U.S. House,3,Democratic,Stephen Tryon,2117
San Juan,U.S. House,3,Republican,Jason Chaffetz,3227
San Juan,U.S. Senate,,Independent,Bill Barron,91
San Juan,U.S. Senate,,Independent American,Stoney Fonua,137
San Juan,U.S. Senate,,Republican,Mike Lee,3243
San Juan,U.S. Senate,,Democratic,Misty Snow,1947
San Pete,Attorney General,,Republican,Sean Reyes,7883
San Pete,Attorney General,,Independent American,Michael Isbell,400
San Pete,Attorney General,,Democratic,Jon Harper,1123
San Pete,Attorney General,,Libertarian,W. Andrew McCullough,469
San Pete,Governor,,Democratic,Mike Weinholtz,1033
San Pete,Governor,,Independent American,Dell Schanze,197
San Pete,Governor,,Libertarian,Brian Kamerath,244
San Pete,Governor,,,Write In,18
San Pete,Governor,,Republican,Gary Herbert,8701
San Pete,President,,,Write In,85
San Pete,President,,Republican,Donald Trump,6673
San Pete,President,,,Evan McMullin,2038
San Pete,President,,,Alyson Kennedy,0
San Pete,President,,Democratic,Hillary Clinton,1061
San Pete,President,,Constitution,Darrell Castle,139
San Pete,President,,Libertarian,Gary Johnson,186
San Pete,President,,Independent American,Rocky Giordani,26
San Pete,President,,,Monica Moorehead,2
San Pete,President,,,Rocky De La Fuente,7
San Pete,President,,,Jill Stein,30
San Pete,State Auditor,,Democratic,Mike Mitchell,1548
San Pete,State Auditor,,Republican,John Dougall,7373
San Pete,State Auditor,,Independent American,Jared Green,741
San Pete,State House,58,Republican,Derrin Owens,8428
San Pete,State House,70,Democratic,William Groff,21
San Pete,State House,70,Republican,Carl Albrecht,130
San Pete,State Senate,24,Republican,Ralph Okerlund,8608
San Pete,State Treasurer,,Constitution,Richard Proctor,916
San Pete,State Treasurer,,Republican,David Damschen,6999
San Pete,State Treasurer,,Democratic,Neil Hansen,1734
San Pete,U.S. House,2,Constitution,Paul McCollaum,302
San Pete,U.S. House,2,Republican,Chris Stewart,4523
San Pete,U.S. House,2,Democratic,Charlene Albarran,541
San Pete,U.S. House,4,Democratic,Doug Owens,926
San Pete,U.S. House,4,Constitution,Collin Simonsen,290
San Pete,U.S. House,4,Republican,Mia Love,3427
San Pete,U.S. Senate,,,Bill Barron,130
San Pete,U.S. Senate,,Democratic,Misty Snow,1128
San Pete,U.S. Senate,,Independent American,Stoney Fonua,228
San Pete,U.S. Senate,,Republican,Mike Lee,8583
Sevier,Attorney General,,Libertarian,W. Andrew McCullough,310
Sevier,Attorney General,,Democratic,Jon Harper,753
Sevier,Attorney General,,Independent American,Michael Isbell,286
Sevier,Attorney General,,Republican,Sean Reyes,7116
Sevier,Governor,,Libertarian,Brian Kamerath,188
Sevier,Governor,,,L.S. Brown,11
Sevier,Governor,,,Write-In,13
Sevier,Governor,,Republican,Gary Herbert,7305
Sevier,Governor,,Independent American,Dell Schanze,176
Sevier,Governor,,Democratic,Mike Weinholtz,903
Sevier,President,,Independent American,Rocky Giordani,22
Sevier,President,,,Rocky De La Fuente,1
Sevier,President,,Workers World,Monica Moorehead,6
Sevier,President,,Socialist Workers,Alyson Kennedy,3
Sevier,President,,Constitution,Darrell Castle,67
Sevier,President,,Independent,Evan McMullin,916
Sevier,President,,Green,Jill Stein,29
Sevier,President,,,Write-In,41
Sevier,President,,Libertarian,Gary Johnson,175
Sevier,President,,Republican,Donald Trump,6740
Sevier,President,,Democratic,Hillary Clinton,695
Sevier,State Auditor,,Democratic,Mike Mitchell,1105
Sevier,State Auditor,,Republican,John Dougall,6795
Sevier,State Auditor,,Independent American,Jared Green,480
Sevier,State House,70,Democratic,William Groff,955
Sevier,State House,70,Republican,Carl Albrecht,7402
Sevier,State House,73,Democratic,Ty Markham,8
Sevier,State House,73,Republican,Mike Noel,82
Sevier,State Senate,24,Republican,Ralph Okerlund,7857
Sevier,State Treasurer,,Democratic,Neil Hansen,1112
Sevier,State Treasurer,,Republican,David Damschen,6618
Sevier,State Treasurer,,Constitution,Richard Proctor,600
Sevier,U.S. House,2,Republican,Chris Stewart,7273
Sevier,U.S. House,2,Constitution,Paul McCollaum,434
Sevier,U.S. House,2,Democratic,Charlene Albarran,824
Sevier,U.S. Senate,,Independent,Bill Barron,114
Sevier,U.S. Senate,,Independent American,Stoney Fonua,176
Sevier,U.S. Senate,,Republican,Mike Lee,7438
Sevier,U.S. Senate,,Democratic,Misty Snow,836
Summit,Attorney General,,Libertarian,W. Andrew McCullough,1286
Summit,Attorney General,,Democratic,Jon Harper,9086
Summit,Attorney General,,Republican,Sean Reyes,9008
Summit,Attorney General,,Independent American,Michael Isbell,386
Summit,Governor,,,Write-In,25
Summit,Governor,,Republican,Gary Herbert,9595
Summit,Governor,,Independent American,Dell Schanze,163
Summit,Governor,,Libertarian,Brian Kamerath,541
Summit,Governor,,Democratic,Mike Weinholtz,10162
Summit,President,,Independent American,Rocky Giordani,27
Summit,President,,Democratic,Hillary Clinton,10503
Summit,President,,,Rocky De La Fuente,11
Summit,President,,Workers World,Monica Moorehead,4
Summit,President,,Socialist Workers,Alyson Kennedy,7
Summit,President,,Constitution,Darrell Castle,44
Summit,President,,Independent,Evan McMullin,1786
Summit,President,,Green,Jill Stein,170
Summit,President,,,Write-In,244
Summit,President,,Republican,Donald Trump,7333
Summit,President,,Libertarian,Gary Johnson,756
Summit,State Auditor,,Republican,John Dougall,8696
Summit,State Auditor,,Democratic,Mike Mitchell,9697
Summit,State Auditor,,Independent American,Jared Green,892
Summit,State House,28,Democratic,Brian King,1090
Summit,State House,53,Democratic,Cole Capener,4947
Summit,State House,53,Republican,Logan Wilde,6040
Summit,State House,54,Democratic,Rudi Kohler,4850
Summit,State House,54,Republican,Tim Quinn,2438
Summit,State Senate,19,Republican,Allen Christensen,3289
Summit,State Senate,19,,Write-In,11
Summit,State Senate,19,Democratic,Deana Froerer,3775
Summit,State Treasurer,,Republican,David Damschen,8779
Summit,State Treasurer,,Democratic,Neil Hansen,9303
Summit,State Treasurer,,Constitution,Richard Proctor,1108
Summit,U.S. House,1,Republican,Rob Bishop,8562
Summit,U.S. House,1,Libertarian,Craig Bowden,941
Summit,U.S. House,1,Democratic,Peter Clemens,10529
Summit,U.S. House,1,,Chadwick Fairbanks,196
Summit,U.S. Senate,,Independent American,Stoney Fonua,354
Summit,U.S. Senate,,Independent,Bill Barron,816
Summit,U.S. Senate,,Republican,Mike Lee,9409
Summit,U.S. Senate,,Democratic,Misty Snow,9610
Tooele,Attorney General,,Democratic,Jon Harper,4429
Tooele,Attorney General,,Republican,Sean Reyes,14267
Tooele,Attorney General,,Libertarian,W. Andrew McCullough,1707
Tooele,Attorney General,,Independent American,Michael Isbell,901
Tooele,Governor,,Libertarian,Brian Kamerath,752
Tooele,Governor,,,Write-In,40
Tooele,Governor,,Republican,Gary Herbert,15030
Tooele,Governor,,Independent American,Dell Schanze,484
Tooele,Governor,,Democratic,Mike Weinholtz,5425
Tooele,President,,Independent American,Rocky Giordani,123
Tooele,President,,Workers World,Monica Moorehead,11
Tooele,President,,Socialist Workers,Alyson Kennedy,11
Tooele,President,,Democratic,Hillary Clinton,4573
Tooele,President,,Constitution,Darrell Castle,191
Tooele,President,,Independent,Evan McMullin,4769
Tooele,President,,Green,Jill Stein,182
Tooele,President,,,Write-In,163
Tooele,President,,,Rocky De La Fuente,17
Tooele,President,,Republican,Donald Trump,11169
Tooele,President,,Libertarian,Gary Johnson,783
Tooele,State Auditor,,Republican,John Dougall,13538
Tooele,State Auditor,,Democratic,Mike Mitchell,5769
Tooele,State Auditor,,Independent American,Jared Green,1725
Tooele,State House,21,Republican,Douglas Sagers,7912
Tooele,State House,21,Democratic,Rick Pollock,4375
Tooele,State House,68,Republican,Merrill Nelson,6004
Tooele,State House,68,Constitution,Kirk Pearson,1090
Tooele,State House,68,Democratic,Cindee Beard,1932
Tooele,State Treasurer,,Republican,David Damschen,12544
Tooele,State Treasurer,,Democratic,Neil Hansen,5970
Tooele,State Treasurer,,Constitution,Richard Proctor,2325
Tooele,U.S. House,2,Republican,Chris Stewart,14632
Tooele,U.S. House,2,Constitution,Paul McCollaum,1457
Tooele,U.S. House,2,Democratic,Charlene Albarran,5252
Tooele,U.S. Senate,,Independent,Bill Barron,425
Tooele,U.S. Senate,,Independent American,Stoney Fonua,773
Tooele,U.S. Senate,,Republican,Mike Lee,15325
Tooele,U.S. Senate,,Democratic,Misty Snow,4959
Uintah,Attorney General,,Libertarian,W. Andrew McCullough,624
Uintah,Attorney General,,Democratic,Jon Harper,1136
Uintah,Attorney General,,Republican,Sean Reyes,10372
Uintah,Attorney General,,Independent American,Michael Isbell,346
Uintah,Governor,,,Write-In,41
Uintah,Governor,,Republican,Gary Herbert,10697
Uintah,Governor,,Independent American,Dell Schanze,218
Uintah,Governor,,Libertarian,Brian Kamerath,408
Uintah,Governor,,Democratic,Mike Weinholtz,1388
Uintah,President,,Independent American,Rocky Giordani,28
Uintah,President,,Workers World,Monica Moorehead,5
Uintah,President,,Socialist Workers,Alyson Kennedy,6
Uintah,President,,Democratic,Hillary Clinton,995
Uintah,President,,Constitution,Darrell Castle,129
Uintah,President,,,'Rocky' De La Fuente,10
Uintah,President,,Independent,Evan McMullin,1496
Uintah,President,,Green,Jill Stein,43
Uintah,President,,,Write-In,67
Uintah,President,,Republican,Donald Trump,9810
Uintah,President,,Libertarian,Gary Johnson,275
Uintah,State Auditor,,Republican,John Dougall,10130
Uintah,State Auditor,,Democratic,Mike Mitchell,1549
Uintah,State Auditor,,Independent American,Jared Green,664
Uintah,State House,55,Republican,Scott Chew,11133
Uintah,State House,55,Democratic,Wayne Stevens,1365
Uintah,State Treasurer,,Republican,David Damschen,9790
Uintah,State Treasurer,,Democratic,Neil Hansen,1572
Uintah,State Treasurer,,Constitution,Richard Proctor,926
Uintah,U.S. House,1,Republican,Rob Bishop,10362
Uintah,U.S. House,1,Democratic,Peter Clemens,1397
Uintah,U.S. House,1,Constitution,Chadwick Fairbanks,273
Uintah,U.S. House,1,Democratic,Craig Bowden,580
Uintah,U.S. Senate,,Independent,Bill Barron,247
Uintah,U.S. Senate,,Independent American,Stoney Fonua,234
Uintah,U.S. Senate,,Republican,Mike Lee,10989
Uintah,U.S. Senate,,Democratic,Misty Snow,1232
Utah,Attorney General,,Libertarian,W. Andrew McCullough,12804
Utah,Attorney General,,Democratic,Jon Harper,24917
Utah,Attorney General,,Republican,Sean Reyes,153273
Utah,Attorney General,,Independent American,Michael Isbell,4764
Utah,Governor,,Democratic,Mike Weinholtz,28469
Utah,Governor,,,Write-In,521
Utah,Governor,,Republican,Gary Herbert,162478
Utah,Governor,,Independent American,Dell Schanze,2720
Utah,Governor,,Libertarian,Brian Kamerath,6368
Utah,President,,Workers World,Monica Moorehead,84
Utah,President,,Independent American,Rocky Giordani,537
Utah,President,,Democratic,Hillary Clinton,28522
Utah,President,,,Rocky De La Fuente,165
Utah,President,,Socialist Workers,Alyson Kennedy,61
Utah,President,,Constitution,Darrell Castle,1994
Utah,President,,Independent,Evan McMullin,60532
Utah,President,,Green,Jill Stein,1030
Utah,President,,,Write-In,2100
Utah,President,,Republican,Donald Trump,102182
Utah,President,,Libertarian,Gary Johnson,6437
Utah,State Auditor,,Republican,John Dougall,149332
Utah,State Auditor,,Democratic,Mike Mitchell,32573
Utah,State Auditor,,Independent American,Jared Green,10673
Utah,State House,2,Republican,Jefferson Moss,14729
Utah,State House,6,Republican,Cory Maloy,12776
Utah,State House,6,Libertarian,Aaron Davis,888
Utah,State House,6,Democratic,Donna Gibbons,2673
Utah,State House,27,Republican,Mike Kennedy,16583
Utah,State House,48,Republican,Keven Stratton,12809
Utah,State House,56,Republican,Kay Christofferson,13894
Utah,State House,57,Republican,Brian Greene,12865
Utah,State House,59,Democratic,Rachel Nelson,2861
Utah,State House,59,Republican,Val Peterson,11165
Utah,State House,60,Democratic,B. Swallow-Fenton,2738
Utah,State House,60,Independent American,Tommy Williams,541
Utah,State House,60,Republican,Bradley Daw,10283
Utah,State House,61,Republican,Keith Grover,10587
Utah,State House,63,Democratic,Nathan Smith Jones,1428
Utah,State House,63,Republican,Dean Sanpei,5437
Utah,State House,64,Republican,Norm Thuston,9086
Utah,State House,65,Republican,Francis Gibson,13784
Utah,State House,66,Republican,Mike McKell,12968
Utah,State House,67,Republican,Marc Roberts,12095
Utah,State House,68,Republican,Merrill Nelson,153
Utah,State House,68,Constitution,Kirk Pearson,37
Utah,State House,68,Democratic,Cindee Beard,28
Utah,State Senate,7,Republican,Deidre Henderson,28292
Utah,State Senate,7,Democratic,Andrew Apsley,5589
Utah,State Senate,13,,Write-In,472
Utah,State Senate,13,Republican,Jake Anderegg,34985
Utah,State Senate,14,Republican,Dan Hemmert,34681
Utah,State Senate,14,Independent American,Curt Crosby,1732
Utah,State Senate,14,Libertarian,Joe Buchman,3776
Utah,State Senate,16,Republican,Curt Bramble,21192
Utah,State Senate,16,Independent American,Jason Christensen,4994
Utah,State Senate,24,Republican,Ralph Okerlund,2129
Utah,State Senate,27,Republican,David Hinkins,11189
Utah,State Senate,27,Democratic,Heidi Redd,3216
Utah,State Treasurer,,Republican,David Damschen,142746
Utah,State Treasurer,,Democratic,Neil Hansen,33812
Utah,State Treasurer,,Constitution,Richard Proctor,14510
Utah,U.S. House,3,Democratic,Stephen Tryon,28777
Utah,U.S. House,3,Republican,Jason Chaffetz,134808
Utah,U.S. House,4,Republican,Mia Love,25964
Utah,U.S. House,4,Constitution,Collin Simonsen,2087
Utah,U.S. House,4,Democratic,Doug Owens,7291
Utah,U.S. Senate,,Independent,Bill Barron,5995
Utah,U.S. Senate,,Independent American,Stoney Fonua,5014
Utah,U.S. Senate,,Republican,Mike Lee,163557
Utah,U.S. Senate,,Democratic,Misty Snow,26246
Wasatch,Attorney General,,Libertarian,W. Andrew McCullough,704
Wasatch,Attorney General,,Democratic,Jon Harper,2720
Wasatch,Attorney General,,Republican,Sean Reyes,8149
Wasatch,Attorney General,,Independent American,Michael Isbell,247
Wasatch,Governor,,,Write-In,23
Wasatch,Governor,,Republican,Gary Herbert,8552
Wasatch,Governor,,Independent American,Dell Schanze,140
Wasatch,Governor,,Libertarian,Brian Kamerath,291
Wasatch,Governor,,Democratic,Mike Weinholtz,3125
Wasatch,President,,Workers World,Monica Moorehead,3
Wasatch,President,,Independent American,Rocky Giordani,25
Wasatch,President,,Democratic,Hillary Clinton,3063
Wasatch,President,,,Rocky De La Fuente,6
Wasatch,President,,Socialist Workers,Alyson Kennedy,11
Wasatch,President,,Constitution,Darrell Castle,103
Wasatch,President,,Independent,Evan McMullin,2315
Wasatch,President,,Green,Jill Stein,70
Wasatch,President,,,Write-In,146
Wasatch,President,,Republican,Donald Trump,6115
Wasatch,President,,Libertarian,Gary Johnson,409
Wasatch,State Auditor,,Republican,John Dougall,7602
Wasatch,State Auditor,,Democratic,Mike Mitchell,3214
Wasatch,State Auditor,,Independent American,Jared Green,620
Wasatch,State House,54,Democratic,Rudi Kohler,4135
Wasatch,State House,54,Republican,Tim Quinn,7390
Wasatch,State Senate,16,Republican,Curt Bramble,297
Wasatch,State Senate,16,Independent American,Jason Christensen,98
Wasatch,State Senate,27,Republican,David Hinkins,1141
Wasatch,State Senate,27,Democratic,Heidi Redd,695
Wasatch,State Treasurer,,Republican,David Damschen,7379
Wasatch,State Treasurer,,Democratic,Neil Hansen,3322
Wasatch,State Treasurer,,Constitution,Richard Proctor,701
Wasatch,U.S. House,3,Democratic,Stephen Tryon,3453
Wasatch,U.S. House,3,Republican,Jason Chaffetz,8491
Wasatch,U.S. Senate,,Independent,Bill Barron,277
Wasatch,U.S. Senate,,Independent American,Stoney Fonua,241
Wasatch,U.S. Senate,,Republican,Mike Lee,8464
Wasatch,U.S. Senate,,Democratic,Misty Snow,2898
Washington,Attorney General,,Libertarian,W. Andrew McCullough,3381
Washington,Attorney General,,Democratic,Jon Harper,9962
Washington,Attorney General,,Republican,Sean Reyes,45223
Washington,Attorney General,,Independent American,Michael Isbell,1707
Washington,Governor,,Libertarian,Brian Kamerath,2256
Washington,Governor,,Republican,Gary Herbert,47302
Washington,Governor,,,Write-In,154
Washington,Governor,,Independent American,Dell Schanze,1125
Washington,Governor,,Democratic,Mike Weinholtz,10545
Washington,President,,Independent American,Rocky Giordani,147
Washington,President,,Workers World,Monica Moorehead,20
Washington,President,,Socialist Workers,Alyson Kennedy,25
Washington,President,,Democratic,Hillary Clinton,10288
Washington,President,,Constitution,Darrell Castle,459
Washington,President,,Independent,Evan McMullin,6565
Washington,President,,Green,Jill Stein,290
Washington,President,,,Write-In,479
Washington,President,,,Rocky De La Fuente,45
Washington,President,,Republican,Donald Trump,42650
Washington,President,,Libertarian,Gary Johnson,1473
Washington,State Auditor,,Republican,John Dougall,44503
Washington,State Auditor,,Democratic,Mike Mitchell,11469
Washington,State Auditor,,Independent American,Jared Green,3403
Washington,State House,62,Republican,Jon Stanard,14115
Washington,State House,71,Democratic,Chuck Goode,2350
Washington,State House,71,Republican,Brad Last,9427
Washington,State House,74,Republican,V Lowry Snow,15363
Washington,State House,75,Republican,Walt Brooks,11861
Washington,State Senate,29,Republican,Don Ipson,32177
Washington,State Senate,29,Democratic,Dorothy Engelman,9114
Washington,State Treasurer,,Republican,David Damschen,42971
Washington,State Treasurer,,Democratic,Neil Hansen,11909
Washington,State Treasurer,,Constitution,Richard Proctor,4154
Washington,U.S. House,2,Republican,Chris Stewart,46382
Washington,U.S. House,2,Constitution,Paul McCollaum,2992
Washington,U.S. House,2,Democratic,Charlene Albarran,10875
Washington,U.S. Senate,,Independent,Bill Barron,1213
Washington,U.S. Senate,,Independent American,Stoney Fonua,1179
Washington,U.S. Senate,,Republican,Mike Lee,48544
Washington,U.S. Senate,,Democratic,Misty Snow,10220
Wayne,Attorney General,,Independent American,Michael Isbell,48
Wayne,Attorney General,,Libertarian,W. Andrew McCullough,108
Wayne,Attorney General,,Democratic,Jon Harper,502
Wayne,Attorney General,,Republican,Sean Reyes,2112
Wayne,Governor,,Libertarian,Brian Kamerath,38
Wayne,Governor,,Republican,Gary Herbert,2216
Wayne,Governor,,Independent American,Dell Schanze,28
Wayne,Governor,,Democratic,Mike Weinholtz,550
Wayne,President,,,Jill Stein,24
Wayne,President,,Independent American,Giordani/Anderson,6
Wayne,President,,Republican,Donald Trump,1932
Wayne,President,,,Monica Moorehead,0
Wayne,President,,Constitution,Darrell Castle,28
Wayne,President,,,Alyson Kennedy,2
Wayne,President,,Democratic,Hillary Clinton,542
Wayne,President,,,Evan McMullin,270
Wayne,President,,Libertarian,Gary Johnson,36
Wayne,President,,,Rocky De La Fuente,2
Wayne,State Auditor,,Republican,John Dougall,1982
Wayne,State Auditor,,Democratic,Mike Mitchell,610
Wayne,State Auditor,,Independent American,Jared Green,104
Wayne,State House,73,Republican,Mike Noel,1942
Wayne,State House,73,Democratic,Ty Markham,852
Wayne,State Senate,24,Republican,Ralph Okerlund,2336
Wayne,State Treasurer,,Republican,David Damschen,1966
Wayne,State Treasurer,,Democratic,Neil Hansen,618
Wayne,State Treasurer,,Constitution,Richard Proctor,120
Wayne,U.S. House,2,Republican,Chris Stewart,2092
Wayne,U.S. House,2,Constitution,Paul McCollaum,104
Wayne,U.S. House,2,Democratic,Charlene Albarran,588
Wayne,U.S. Senate,,Independent American,Stoney Fonua,46
Wayne,U.S. Senate,,,Bill Barron,102
Wayne,U.S. Senate,,Republican,Mike Lee,2158
Wayne,U.S. Senate,,Democratic,Misty Snow,520
Weber,Attorney General,,Libertarian,W. Andrew McCullough,5910
Weber,Attorney General,,Democratic,Jon Harper,21663
Weber,Attorney General,,Republican,Sean Reyes,52656
Weber,Attorney General,,Independent American,Michael Isbell,2641
Weber,Governor,,,Write-In,183
Weber,Governor,,Republican,Gary Herbert,55052
Weber,Governor,,Libertarian,Brian Kamerath,3082
Weber,Governor,,Democratic,Mike Weinholtz,25002
Weber,Governor,,Independent American,Dell Schanze,1300
Weber,President,,Independent,Evan McMullin,16451
Weber,President,,Workers World,Monica Moorehead,54
Weber,President,,Constitution,Darrell Castle,465
Weber,President,,Republican,Donald Trump,40235
Weber,President,,Green,Jill Stein,937
Weber,President,,,Rocky De La Fuente,88
Weber,President,,Independent American,"Giordani,Rocky",256
Weber,President,,,Write-In,968
Weber,President,,Socialist Workers,Alyson Kennedy,50
Weber,President,,Libertarian,Gary Johnson,3371
Weber,President,,Democratic,Hillary Clinton,23131
Weber,State Auditor,,Democratic,Mike Mitchell,26471
